website	start-date	end-date	name
https://www.gov.uk/government/organisations/administrative-justice-and-tribunals-council		2013-08-19	
https://www.gov.uk/government/organisations/adult-learning-inspectorate		2007-04	
https://www.gov.uk/government/organisations/advisory-committee-on-pesticides		2015-03	
https://www.gov.uk/government/organisations/advisory-panel-on-public-sector-information		2015-10	
https://www.gov.uk/government/organisations/airports-commission		2015-07	
https://www.gov.uk/government/organisations/alcohol-education-and-research-council		2011-03-28	
https://www.gov.uk/government/organisations/ancient-monuments-board-for-Scotland		closed	
https://www.gov.uk/government/organisations/animal-health		2011-04-01	
https://www.gov.uk/government/organisations/animal-health-and-veterinary-laboratories-agency		2011-04-01	
https://www.gov.uk/government/organisations/animal-procedures-committee		2012-12	
https://www.gov.uk/government/organisations/armed-forces-personnel-administration-agency		2007-04	
https://www.gov.uk/government/organisations/army-base-repair-organisation		2008-04-01	
https://www.gov.uk/government/organisations/asset-protection-agency		2012-12-31	
https://www.gov.uk/government/organisations/assets-recovery-agency		2008-04-01	
https://www.gov.uk/government/organisations/audit-commission		2015-03-31	
https://www.gov.uk/government/organisations/behavioural-insights-team		2014-02-05	
https://www.gov.uk/government/organisations/british-educational-communications-and-technology-agency		2011-03-31	
https://www.gov.uk/government/organisations/british-potato-council		2008-04-01	
https://www.gov.uk/government/organisations/broadcasting-standards-commission		2003-12-29	
https://www.gov.uk/government/organisations/building-research-establishment		1997	
https://www.gov.uk/government/organisations/business-development-service		2006-04-01	
https://www.gov.uk/government/organisations/buying-solutions		2010-06	
https://www.gov.uk/government/organisations/capacitybuilders		2011-03-31	
https://www.gov.uk/government/organisations/central-office-of-information		2011-12-30	
https://www.gov.uk/government/organisations/central-police-training-and-development-authority		2007-03-31	
https://www.gov.uk/government/organisations/central-science-laboratory		2009-03-31	
https://www.gov.uk/government/organisations/child-maintenance-and-enforcement-commission		2012-07-30	
https://www.gov.uk/government/organisations/childrens-workforce-development-council		2012-03-31	
https://www.gov.uk/government/organisations/co2sense		2012-03	
https://www.gov.uk/government/organisations/commission-for-health-improvement		2004-03-31	
https://www.gov.uk/government/organisations/commission-for-patient-and-public-involvement-in-health		2008-03-31	
https://www.gov.uk/government/organisations/commission-for-racial-equality		2007-10-01	
https://www.gov.uk/government/organisations/commission-for-rural-communities		2013-03	
https://www.gov.uk/government/organisations/commission-for-the-compact		2011-03-31	
https://www.gov.uk/government/organisations/community-fund		2006-11-30	
https://www.gov.uk/government/organisations/competition-commission		2014-04-01	
https://www.gov.uk/government/organisations/consumer-focus		2014-04-01	
https://www.gov.uk/government/organisations/council-for-healthcare-regulatory-excellence		2012	
https://www.gov.uk/government/organisations/council-for-the-central-laboratory-of-the-research-councils		2007-04-01	
https://www.gov.uk/government/organisations/countryside-agency		2006-10-02	
https://www.gov.uk/government/organisations/criminal-justice-inspection-northern-Ireland		closed	
https://www.gov.uk/government/organisations/criminal-records-bureau		2012-12-01	
https://www.gov.uk/government/organisations/crown-agents-holding-and-realisation-board		2008-03-31	
https://www.gov.uk/government/organisations/defence-analytical-services-agency		2008-04-01	
https://www.gov.uk/government/organisations/defence-aviation-repair-agency		2008-04-01	
https://www.gov.uk/government/organisations/defence-bills-agency		2007-04-01	
https://www.gov.uk/government/organisations/defence-estates		2011-04-01	
https://www.gov.uk/government/organisations/defence-medical-education-and-training-agency		2008-04-01	
https://www.gov.uk/government/organisations/defence-procurement-agency		2007-04-01	
https://www.gov.uk/government/organisations/defence-storage-and-distribution-agency		2009-04-01	
https://www.gov.uk/government/organisations/defence-support-group		2015-03-31	
https://www.gov.uk/government/organisations/defence-transport-and-movements-agency		2007-04-01	
https://www.gov.uk/government/organisations/defence-vetting-agency		2012-04-01	
https://www.gov.uk/government/organisations/dental-practice-board		2006-03-31	
https://www.gov.uk/government/organisations/dental-vocational-training-authority		2006-03-31	
https://www.gov.uk/government/organisations/department-for-business-innovation-skills		2016-07-14	
https://www.gov.uk/government/organisations/department-for-education-and-skills		2007	
https://www.gov.uk/government/organisations/department-for-innovation-universities-and-skills		2009-06	
https://www.gov.uk/government/organisations/department-of-constitutional-affairs		2007-05-09	
https://www.gov.uk/government/organisations/department-of-energy-climate-change		2016-07-14	
https://www.gov.uk/government/organisations/department-of-inland-revenue		2005-il-Ap	
https://www.gov.uk/government/organisations/department-of-national-heritage		1997	
https://www.gov.uk/government/organisations/department-of-social-security		2001	
https://www.gov.uk/government/organisations/department-of-the-environment-transport-and-the-regions		2001	
https://www.gov.uk/government/organisations/deputy-prime-ministers-office		2015-05-08	
https://www.gov.uk/government/organisations/derby-north-east-education-action-zone		2005-04-16	
https://www.gov.uk/government/organisations/design-council		closed	
https://www.gov.uk/government/organisations/dingle-granby-toxteth-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/disability-and-carers-service		2008	
https://www.gov.uk/government/organisations/disability-rights-commission		2007-10-01	
https://www.gov.uk/government/organisations/disposal-services-agency		2007-04-01	
https://www.gov.uk/government/organisations/downham-and-bellingham-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/driver-and-vehicle-testing-agency		2007	
https://www.gov.uk/government/organisations/driving-standards-agency		2014-04-01	
https://www.gov.uk/government/organisations/dudley-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/easington-and-seaham-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/east-cleveland-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/east-manchester-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/east-midlands-development-agency-emda		2012-03-30	
https://www.gov.uk/government/organisations/east-of-england-development-agency		2012-07-01	
https://www.gov.uk/government/organisations/eastern-health-and-social-services-board		closed	
https://www.gov.uk/government/organisations/eliasch-review		closed	
https://www.gov.uk/government/organisations/ellesmere-port-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/english-heritage		2015-04-01	
https://www.gov.uk/government/organisations/english-nature		2006-10-01	
https://www.gov.uk/government/organisations/english-partnerships		2008-12-01	
https://www.gov.uk/government/organisations/english-sports-council		1997	
https://www.gov.uk/government/organisations/enterprise-ulster		2006-03-21	
https://www.gov.uk/government/organisations/equal-opportunities-commission		2007-09-30	
https://www.gov.uk/government/organisations/equality-2025		2013-09	
https://www.gov.uk/government/organisations/equitable-life-inquiry		2000-12	
https://www.gov.uk/government/organisations/examination-team-on-child-care-procedures-and-practice-in-north-wales		1996-06-17	
https://www.gov.uk/government/organisations/exchequer-and-audit-department		1983	
https://www.gov.uk/government/organisations/family-health-services-appeal-authority		2015-03-31	
https://www.gov.uk/government/organisations/firearms-consultative-committee		2004-01-31	
https://www.gov.uk/government/organisations/firebuy		2011-07-13	
https://www.gov.uk/government/organisations/food-from-britain		2009-03-31	
https://www.gov.uk/government/organisations/football-licensing-authority		2010-10-14	
https://www.gov.uk/government/organisations/forensic-science-service		2005-12-04	
https://www.gov.uk/government/organisations/gaming-board-for-great-britain		2007-09-01	
https://www.gov.uk/government/organisations/gas-and-electricity-consumer-council-energywatch		2008	
https://www.gov.uk/government/organisations/general-social-care-council		2012-09-30	
https://www.gov.uk/government/organisations/general-teaching-council-for-england		2012-03-31	
https://www.gov.uk/government/organisations/gloucester-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/government-car-and-despatch-agency		2009-12-30	
https://www.gov.uk/government/organisations/government-procurement-service		2014-04-01	
https://www.gov.uk/government/organisations/gowers-review-of-intellectual-property		2006-12	
https://www.gov.uk/government/organisations/great-yarmouth-education-action-zone		2005-04-16	
https://www.gov.uk/government/organisations/greenwich-education-action-zone		2004-09-05	
https://www.gov.uk/government/organisations/hackney-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/hamilton-oxford-education-action-zone		2004-09-06	
https://www.gov.uk/government/organisations/hastings-and-st-leonards-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/health-protection-agency		2013-04-01	
https://www.gov.uk/government/organisations/healthcare-commission		2009-03-31	
https://www.gov.uk/government/organisations/hearing-aid-council		2010-07-31	
https://www.gov.uk/government/organisations/her-majestys-magistrates-courts-servuce-inspectorate		closed	
https://www.gov.uk/government/organisations/higher-education-statistical-agency		closed	
https://www.gov.uk/government/organisations/highways-agency		2015-04-01	
https://www.gov.uk/government/organisations/hillsborough-independent-panel		2012-09-12	
https://www.gov.uk/government/organisations/hm-customs-and-excise		2005-04	
https://www.gov.uk/government/organisations/hm-inspectorate-of-court-administration		2010-12	
https://www.gov.uk/government/organisations/hm-inspectorate-of-explosives-for-northern-Ireland		closed	
https://www.gov.uk/government/organisations/home-grown-cereals-authority		2008-03-31	
https://www.gov.uk/government/organisations/horticultural-development-council		2008-04-01	
https://www.gov.uk/government/organisations/housing-corporation		2008-12-01	
https://www.gov.uk/government/organisations/icl-inquiry		closed	
https://www.gov.uk/government/organisations/identity-and-passport-service		closed	
https://www.gov.uk/government/organisations/independent-living-fund		2015-06-30	
https://www.gov.uk/government/organisations/independent-monitoring-commission		2011	
https://www.gov.uk/government/organisations/independent-review-of-police-officer-and-staff-remuneration-and-conditions		closed	
https://www.gov.uk/government/organisations/independent-review-of-the-uk-postal-services-sector		2008-12	
https://www.gov.uk/government/organisations/independent-safeguarding-authority		2014-11-30	
https://www.gov.uk/government/organisations/independent-television-commission		2003-12-28	
https://www.gov.uk/government/organisations/infrastructure-planning-commission		2012-01-31	
https://www.gov.uk/government/organisations/infrastructure-uk		2016-01-01	
https://www.gov.uk/government/organisations/inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international		1992	
https://www.gov.uk/government/organisations/iraq-inquiry		2009	
https://www.gov.uk/government/organisations/jeffrey-review		2014-05	
https://www.gov.uk/government/organisations/kent-and-somerset-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/kerr-haslam-inquiry		2005-07-18	
https://www.gov.uk/government/organisations/kitts-green-and-shard-end-education-action-zone		closed	
https://www.gov.uk/government/organisations/learning-and-skills-council		2010-04-01	
https://www.gov.uk/government/organisations/legal-aid-board		2000	
https://www.gov.uk/government/organisations/legal-services-commission		2013-04-01	
https://www.gov.uk/government/organisations/leigh-park-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/leitch-review-of-skills		2006-12	
https://www.gov.uk/government/organisations/leveson-inquiry		2012	
https://www.gov.uk/government/organisations/local-better-regulation-office		2012-04-01	
https://www.gov.uk/government/organisations/london-thames-gateway-development-corporation		2013-02-28	
https://www.gov.uk/government/organisations/lord-chancellors-department		2003-06-12	
https://www.gov.uk/government/organisations/lyons-inquiry-into-local-government		2007-03	
https://www.gov.uk/government/organisations/marine-fisheries-agency		2010-04-01	
https://www.gov.uk/government/organisations/mckay-commission		2013-03-25	
https://www.gov.uk/government/organisations/meat-and-livestock-commission		2008-04-01	
https://www.gov.uk/government/organisations/meat-hygiene-service		2010-03-31	
https://www.gov.uk/government/organisations/medical-supplies-agency		2005-04-01	
https://www.gov.uk/government/organisations/mental-health-act-commission		2009-04-01	
https://www.gov.uk/government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry		2013-02	
https://www.gov.uk/government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry-2010		2010-02	
https://www.gov.uk/government/organisations/milk-development-council		2008-04-01	
https://www.gov.uk/government/organisations/millennium-commission		2006-11-30	
https://www.gov.uk/government/organisations/ministry-of-defence-police-and-guarding-agency		2013-04-01	
https://www.gov.uk/government/organisations/monitor		2016-04-01	
https://www.gov.uk/government/organisations/monopolies-and-mergers-commission		1999-04-01	
https://www.gov.uk/government/organisations/mull-of-kintyre-review		2011	
https://www.gov.uk/government/organisations/museums-libraries-and-archives-council		2012-05-31	
https://www.gov.uk/government/organisations/national-biological-standards-board		2008-07	
https://www.gov.uk/government/organisations/national-blood-authority		2005-09-30	
https://www.gov.uk/government/organisations/national-care-standards-commission		2004-04-01	
https://www.gov.uk/government/organisations/national-crime-squad		2006-04-01	
https://www.gov.uk/government/organisations/national-criminal-intelligence-service		2006-04-01	
https://www.gov.uk/government/organisations/national-endowment-for-science-technology-and-the-arts		closed	
https://www.gov.uk/government/organisations/national-fraud-authority		2014-03-31	
https://www.gov.uk/government/organisations/national-measurement-office		closed	
https://www.gov.uk/government/organisations/national-patient-safety-agency		2012-07-09	
https://www.gov.uk/government/organisations/national-policing-improvement-agency		2012-12	
https://www.gov.uk/government/organisations/national-radiological-protection-board		2005-04-01	
https://www.gov.uk/government/organisations/national-treatment-agency-for-substance-misuse		2013-04-01	
https://www.gov.uk/government/organisations/national-weights-and-measures-laboratory		2007-06-28	
https://www.gov.uk/government/organisations/natural-resources-institute		1996-05	
https://www.gov.uk/government/organisations/nature-conservancy-council		1991	
https://www.gov.uk/government/organisations/new-opportunities-fund		2006-11-30	
https://www.gov.uk/government/organisations/nhs-appointments-commission		2012-10-31	
https://www.gov.uk/government/organisations/nhs-direct-national-health-service-trust		closed	
https://www.gov.uk/government/organisations/nhs-estates		2005-09-30	
https://www.gov.uk/government/organisations/nhs-information-centre		2013-04-01	
https://www.gov.uk/government/organisations/nhs-institute-for-innovation-and-improvement		2013-03-31	
https://www.gov.uk/government/organisations/nhs-logistics-authority		2006-01-01	
https://www.gov.uk/government/organisations/nhs-pensions-agency		2006-04-01	
https://www.gov.uk/government/organisations/nhs-professionals		2010-04-01	
https://www.gov.uk/government/organisations/nhs-purchasing-and-supply-agency		2010-03-31	
https://www.gov.uk/government/organisations/nimrod-review		2009-10	
https://www.gov.uk/government/organisations/north-east-derbyshire-coalfields-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/north-gillingham-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/north-islington-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/north-stockton-education-action-zone		2005-04-16	
https://www.gov.uk/government/organisations/north-west-development-agency		2012-03-31	
https://www.gov.uk/government/organisations/north-west-shropshire-education-action-zone		2005-04-02	
https://www.gov.uk/government/organisations/northern-health-and-social-services-board		closed	
https://www.gov.uk/government/organisations/northern-Ireland-police-fund		2010-04-12	
https://www.gov.uk/government/organisations/northwest-business-link		2014-01-23	
https://www.gov.uk/government/organisations/northwest-regional-development-agency		2012-07-01	
https://www.gov.uk/government/organisations/office-for-criminal-justice-reform		closed	
https://www.gov.uk/government/organisations/office-for-disability-issues		closed	
https://www.gov.uk/government/organisations/office-for-tenants-and-social-landlords		2012	
https://www.gov.uk/government/organisations/office-of-fair-trading		2014-04-01	
https://www.gov.uk/government/organisations/office-of-hm-paymaster-general		2008-04-01	
https://www.gov.uk/government/organisations/office-of-telecommunications		2003-12-29	
https://www.gov.uk/government/organisations/office-of-the-commissioner-for-protection-against-unlawful-industrial-action		1999-10-25	
https://www.gov.uk/government/organisations/office-of-the-data-protection-registrar		1998	
https://www.gov.uk/government/organisations/office-of-the-health-professions-adjudicator		2012-06-30	
https://www.gov.uk/government/organisations/office-of-the-identity-commissioner		2010-12	
https://www.gov.uk/government/organisations/office-of-the-legal-services-ombudsman		2011	
https://www.gov.uk/government/organisations/office-of-the-oversight-commissioner		2007-05-31	
https://www.gov.uk/government/organisations/oftel		2003	
https://www.gov.uk/government/organisations/ogcbuyingsolutions		2010-06-15	
https://www.gov.uk/government/organisations/olympic-delivery-authority		2014-12-02	
https://www.gov.uk/government/organisations/one-north-east		2012-06-30	
https://www.gov.uk/government/organisations/parliamentary-contributory-pension-fund		closed	
https://www.gov.uk/government/organisations/particle-physics-and-astronomy-research-council		2007-04-01	
https://www.gov.uk/government/organisations/passenger-focus		closed	
https://www.gov.uk/government/organisations/patrick-finucane-review		2015-01	
https://www.gov.uk/government/organisations/people-pay-and-pensions-agency		2011-07-06	
https://www.gov.uk/government/organisations/personal-accounts-delivery-authority		2010-07-05	
https://www.gov.uk/government/organisations/pesticides-safety-directorate		2008	
https://www.gov.uk/government/organisations/peterlee-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/phoenix-sports		closed	
https://www.gov.uk/government/organisations/plymouth-education-action-zone		2003-12-31	
https://www.gov.uk/government/organisations/police-arbitration-tribunal		closed	
https://www.gov.uk/government/organisations/police-complaints-authority		2004-03-31	
https://www.gov.uk/government/organisations/police-information-technology-organisation		2007-03-31	
https://www.gov.uk/government/organisations/police-negotiating-board		2014-10-01	
https://www.gov.uk/government/organisations/polytechnics-and-colleges-funding-council		1992	
https://www.gov.uk/government/organisations/postal-services-commission		2011-10-01	
https://www.gov.uk/government/organisations/postgraduate-medical-education-and-training-board		2010-04-01	
https://www.gov.uk/government/organisations/prescription-pricing-authority		2006-04-01	
https://www.gov.uk/government/organisations/professional-oversight-board		2012-07-02	
https://www.gov.uk/government/organisations/public-health-laboratory-service-board		2004-08-02	
https://www.gov.uk/government/organisations/public-lending-right-office		2013-10-01	
https://www.gov.uk/government/organisations/qualifications-and-curriculum-authority		2010-04-01	
https://www.gov.uk/government/organisations/qualifications-and-curriculum-development-agency		2012-04-01	
https://www.gov.uk/government/organisations/railway-heritage-committee		2013-04-01	
https://www.gov.uk/government/organisations/redfern-inquiry		2010-11	
https://www.gov.uk/government/organisations/remploy-ltd		closed	
https://www.gov.uk/government/organisations/renewable-fuels-agency		2011-04-01	
https://www.gov.uk/government/organisations/rent-service		2009-04-01	
https://www.gov.uk/government/organisations/revenue-and-customs-prosecutions-office		2010-04	
https://www.gov.uk/government/organisations/review-board-for-government-contracts		2015-03-31	
https://www.gov.uk/government/organisations/review-body-for-nursing-and-other-health-professions		closed	
https://www.gov.uk/government/organisations/rosemary-nelson-inquiry		2011-05-23	
https://www.gov.uk/government/organisations/royal-commission-on-criminal-justice		1993	
https://www.gov.uk/government/organisations/royal-commission-on-environmental-pollution		2011-04-01	
https://www.gov.uk/government/organisations/royal-liverpool-childrens-inquiry		2001-01-30	
https://www.gov.uk/government/organisations/royal-trustees-office		2012	
https://www.gov.uk/government/organisations/school-food-trust		2011-10-01	
https://www.gov.uk/government/organisations/scottish-arts-council		2010-07-01	
https://www.gov.uk/government/organisations/scottish-hospital-trust		closed	
https://www.gov.uk/government/organisations/scottish-office		1999	
https://www.gov.uk/government/organisations/scottish-screen		2010-07-01	
https://www.gov.uk/government/organisations/sentence-review-commissioners		closed	
https://www.gov.uk/government/organisations/serious-organised-crime-agency		2013-10-07	
https://www.gov.uk/government/organisations/service-complaints-commissioner		2016-01	
https://www.gov.uk/government/organisations/service-personnel-and-veterans-agency		2014-04-01	
https://www.gov.uk/government/organisations/shipman-inquiry		2005-01-27	
https://www.gov.uk/government/organisations/sitpro		2010-11-30	
https://www.gov.uk/government/organisations/south-bradford-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/south-east-england-development-agency		2012	
https://www.gov.uk/government/organisations/south-east-england-virtual-education-action-zone		2005-04-02	
https://www.gov.uk/government/organisations/south-east-sheffield-education-action-zone		2005-04-16	
https://www.gov.uk/government/organisations/south-west-of-england-regional-development-agency		2012	
https://www.gov.uk/government/organisations/southend-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/southern-health-and-social-services-board		closed	
https://www.gov.uk/government/organisations/speke-garston-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/standards-board-for-england		2012-01-31	
https://www.gov.uk/government/organisations/state-veterinary-service		2007	
https://www.gov.uk/government/organisations/statistics-commission		2008-04-01	
https://www.gov.uk/government/organisations/stoke-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/strategic-rail-authority		2006-11-30	
https://www.gov.uk/government/organisations/sunderland-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/sutherland-inquiry		2008-12-17	
https://www.gov.uk/government/organisations/technology-strategy-board		closed	
https://www.gov.uk/government/organisations/telford-and-wrekin-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/tenant-services-authority		2010-10	
https://www.gov.uk/government/organisations/the-food-and-environment-research-agency		closed	
https://www.gov.uk/government/organisations/the-shareholder-executive		2016-04	
https://www.gov.uk/government/organisations/the-west-northamptonshire-development-corporation		2014-07-13	
https://www.gov.uk/government/organisations/third-party-campaigning-review		2016-03-17	
https://www.gov.uk/government/organisations/thurrock-thames-gateway-development-corporation		2012-10-31	
https://www.gov.uk/government/organisations/training-and-development-agency-for-schools		2012-04-01	
https://www.gov.uk/government/organisations/trust-ports		closed	
https://www.gov.uk/government/organisations/uk-film-council		2012-03-31	
https://www.gov.uk/government/organisations/uk-passport-service		2006-04-01	
https://www.gov.uk/government/organisations/uk-trade-investment		2016-07-13	
https://www.gov.uk/government/organisations/uk-transplant		2005-10-01	
https://www.gov.uk/government/organisations/united-kingdom-blood-transfusion-services		closed	
https://www.gov.uk/government/organisations/varney-review		2016-12-06	
https://www.gov.uk/government/organisations/vehicle-and-operator-services-agency		2014-04-01	
https://www.gov.uk/government/organisations/veterinary-laboratories-agency		2011-04-01	
https://www.gov.uk/government/organisations/veterinary-residues-committee		2015-01	
https://www.gov.uk/government/organisations/victim-s-advisory-panel		2013-07-24	
https://www.gov.uk/government/organisations/victoria-climbi_-inquiry		2003-01-28	
https://www.gov.uk/government/organisations/wakefield-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/warship-support-agency		2005-04-01	
https://www.gov.uk/government/organisations/wednesbury-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/welsh-development-agency		2006-04-01	
https://www.gov.uk/government/organisations/welsh-office		1999-07-01	
https://www.gov.uk/government/organisations/westminster-education-action-zone		2005-04-30	
https://www.gov.uk/government/organisations/withernsea-and-southern-holderness-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/wolverhampton-education-action-zone		2005-01-09	
https://www.gov.uk/government/organisations/working-ventures-uk		2009-10-02	
https://www.gov.uk/government/organisations/wythenshawe-education-action-zone		2004-11-30	
https://www.gov.uk/government/organisations/yorkshire-forward		2012-06-30	
https://www.gov.uk/government/organisations/young-peoples-learning-agency		2012-03-31	
https://www.gov.uk/government/organisations/zahid-mubarek-inquiry		2006-06-29	
https://www.gov.uk/government/organisations/children-and-family-court-advisory-and-support-service			The Children and Family Court Advisory and Support Service
