buyer-id	government-organisation
216073	EA1015
216080	
216089	
216114	
216121	
216144	
216165	
216233	
216276	
216284	
216318	
216326	
216367	
216415	
216421	
216434	
216436	
216480	
216482	
216509	
216510	
216511	
216512	
216513	
216514	
216515	
216516	
216517	
216518	
216520	
216523	
216524	
216525	
216526	
216528	
216529	
216530	
216531	
216532	
216533	
216534	
216535	
216536	
216544	
216545	
216546	
216547	
216548	
216550	
216551	
216552	
216553	
216563	
216566	
216589	
216590	
216591	
216593	
216594	
216595	
216599	
216629	
216630	
216639	
216641	
216647	D12
216648	
216651	
216656	
216659	
216660	
216661	
216673	
216679	OT486
216686	
216687	
216689	
216691	
216693	
216695	
216698	
216701	
216702	
216703	
216706	
216707	
216713	
216720	
216727	
216730	
216731	
216749	
216750	
216770	
216787	D25
216790	
216800	
216801	
216805	
216822	
216843	EA63
216846	
216851	
216854	
216856	
216860	
216862	
216865	
216867	
216875	OT269
216889	
216919	
216939	
216946	
216950	D18
216951	
216952	
216953	EA480
216954	
216955	PB474
216956	D7
216965	
216974	
216982	
216987	D16
216999	PB197
217000	PB234
217001	
217037	
217038	OT538
217039	
217040	
217041	
217053	OT529
217057	
217058	D10
217070	
217083	
217090	
217092	
217095	
217103	
217104	
217105	
217106	
217121	EA51
217122	
217126	
217142	
217145	
217146	OT313
217149	PB168
217157	EA104
217158	
217163	D5
217164	D6
217173	
217175	
217176	
217179	
217186	D13
217190	EA199
217191	OT486
217193	
217201	
217207	
217211	EA87
217215	D9
217219	
217220	PB207
217225	
217227	
217229	EA86
217239	
217272	
217283	
217289	
217341	
217343	
217356	
217359	EA46
217363	
217379	D11
217384	
217395	
217404	
217408	
217419	PC388
217432	
217445	
217449	
217452	
217456	
217457	
217460	
217475	D4
217496	
217503	OT488
217507	
217511	
217518	
217524	
217525	D17
217532	
217535	D8
217557	
217558	
217559	
217560	
217561	
217598	PB298
217608	
217624	PB246
217625	
217627	
217630	
217635	
217637	D115
217638	EA77
217640	
217641	
217642	
217643	
217647	PB464
217651	
217653	
217654	
217656	
217658	PB251
217661	
217662	
217663	
217667	
217668	
217669	
217671	
217673	
217676	OT222
217677	
217679	
217681	
217683	
217684	PB188
217685	
217686	
217687	
217690	
217694	
217695	
217698	EA61
217704	
217711	
217727	
217728	PB126
217756	PB182
217758	
217760	PB166
217761	
217762	
217764	PB196
217768	
217771	PB165
217773	
217774	
217775	
217784	
217791	
217792	PB161
217794	
217795	
217796	
217799	
217802	
217807	
217815	
217823	
217825	
217829	
217831	
217844	
217848	
217849	
217850	
217851	
217856	D102
217859	
217862	
217865	
217866	
217868	
217871	
217877	
217884	
217888	
217890	D85
217895	D101
217899	
217900	
217907	EA41
217915	
217926	
217928	
217935	EA82
217942	
217946	
217951	
217952	
217958	
217970	
217974	
217980	
217987	
217988	
217989	
217990	PB175
217995	
217996	
218007	
218014	
218015	
218017	
218018	
218019	
218021	
218025	
218026	
218033	
218038	
218039	
218041	
218042	
218045	PB131
218046	
218052	D550
218057	
218061	
218062	
218069	
218070	
218074	
218075	
218081	
218086	EA74
218089	
218091	
218104	
218105	
218106	
218107	
218108	
218110	
218112	
218113	EA78
218119	
218120	PB348
218121	PB120
218125	
218151	
218188	
218192	
218201	PB460
218207	
218213	
218214	
218217	
218219	
218221	
218224	
218225	
218227	
218235	
218237	D1117
218242	
218244	
218245	
218246	
218247	
218256	
218257	
218262	
218263	
218264	
218284	
218299	
218302	
218303	
218311	
218321	
218322	
218328	
218331	
218344	
218346	
218347	
218349	
218352	
218354	
218355	
218361	
218364	
218366	OT1056
218369	
218370	
218372	
218381	
218399	
218400	
218402	PB195
218407	
218409	
218411	
218417	
218418	
218445	
218454	
218461	
218472	
218473	
218475	
218478	
218479	
218480	
218482	
218483	
218486	
218488	
218489	
218501	
218506	
218519	
218521	
218525	
218529	
218530	PB138
218544	
218546	
218549	
218552	
218553	
218561	
218570	PB253
218590	
218594	
218596	
218597	
218605	
218634	PB378
218637	
218639	
218641	
218644	
218646	
218647	
218648	
218663	
218666	
218667	
218668	
218672	
218674	
218679	D303
218682	
218687	
218691	
218719	
218722	
218724	
218726	
218729	
218736	PB307
218737	
218754	
218760	
218762	
218769	
218798	
218799	
218801	
218822	
218823	D240
218825	
218845	
218847	
218848	
218851	
218860	
218871	
218872	
218875	PB298
218879	
218888	
218892	
218894	
218896	
218912	PB179
218914	
218921	
218922	
218924	OT1085
218950	
218965	
218975	D102
218986	
218993	
218996	
219000	
219026	
219033	
219041	
219044	
219060	
219066	
219071	
219073	
219074	
219075	
219077	
219079	
219082	
219095	
219101	
219106	
219111	
219112	
219120	
219126	
219133	
219135	OT313
219136	
219138	
219139	
219141	
219155	
219157	
219159	
219178	
219182	
219187	
219189	
219190	
219191	
219193	
219195	
219196	
219201	
219202	
219204	
219206	
219207	
219213	PB413
219221	
219222	
219223	
219224	
219228	
219230	
219231	
219233	OT495
219241	
219245	
219249	
219252	
219259	
219260	
219262	
219264	
219269	
219271	
219272	
219278	EA556
219282	
219294	
219296	
219307	
219323	
219330	
219335	
219343	
219346	OT1063
219347	
219351	
219353	
219355	
219371	
219372	
219374	
219383	
219385	
219386	EA1109
219387	
219388	
219396	
219403	
219404	
219405	
219410	
219429	
219432	
219457	
219471	
219472	
219488	
219508	
219515	
219523	PB166
219526	
219542	
219552	
219558	
219564	
219574	
219580	
219581	
219585	
219588	
219598	
219600	
219603	
219617	
219631	
219640	
219660	
219664	
219667	
219674	
219694	
219700	
219704	
219707	
219735	
219741	
219744	OT545
219750	
219782	PB456
219790	PB185
219797	
219818	
219826	
219831	
219851	
219852	
219853	
219864	
219867	
219876	
219883	
219894	
219896	
219908	
219909	
219913	
219928	
219934	
219943	
219944	
219950	
219951	
219952	
219961	
219968	
219987	
219989	
219996	
219997	
220000	
220002	
220004	
220012	
220016	
220024	
220033	PB509
220034	
220048	
220052	
220064	
220067	
220082	
220083	
220089	
220090	
220106	
220112	
220127	
220128	
220139	
220154	
220157	
220182	IM1203
220187	
220230	
220246	
220250	
220286	
220299	
220301	PB190
220333	
220336	
220337	
220339	
220340	
220341	
220349	
220351	
220383	
220415	
220416	
220419	
220436	
220448	
220469	
220471	
220477	
220492	
220511	
220512	
220522	
220524	
220532	
220563	
220579	
220580	
220624	
220632	
220652	
220655	
220660	
220661	
220663	OT385
220664	
220666	
220668	EA51
220694	
220706	
220715	
220719	
220731	
220737	
220740	
220755	
220766	OT496
220820	PB571
220824	
220826	
220835	
220877	PB167
220878	
220880	
220911	
220912	
220920	
220932	
220935	
220936	
220943	
220955	
220974	
220976	
220979	
220992	
220998	
221036	
221054	
221058	D98
221076	IM329
221077	
221097	
221108	
221135	
221136	
221203	
221218	
221242	
221253	
221259	
221272	
221287	
221305	
221325	
221332	
221339	
221354	
221389	
221390	
221405	
221407	
221411	
221412	
221458	
221463	
221486	
221487	
221489	
221502	
221514	
221519	
221529	PC163
221539	
221540	
221544	
221562	
221568	
221574	
221579	
221621	
221626	
221653	
221660	
221672	
221677	
221686	
221687	
221691	
221701	
221705	
221717	
221741	
221743	
221762	
221769	
221773	
221787	
221793	PB255
221794	
221809	
221815	
221820	
221826	
221827	
221836	
221845	
221858	
221859	
221878	
221880	
221882	
221883	
221911	
221958	
221991	
222014	
222026	
222058	
222065	
222070	
222076	
222082	EA39
222102	
222103	
222109	
222120	
222174	
222175	
222193	
222195	
222209	
222218	
222251	
222254	
222269	
222304	
222309	
222313	
222314	
222359	
222392	
222410	
222431	
222450	
222451	
222468	
222486	
222487	
222488	
222497	
222505	
222508	
222573	
222590	
222619	PB290
222622	
222651	
222652	
222653	
222654	
222655	
222679	
222683	
222700	
222738	
222743	
222765	PB1093
222813	
222827	
222841	
222855	
222888	
222912	
222913	
222939	
222943	
222945	
222949	
222951	
222952	
222953	
222956	
223027	
223031	
223044	
223047	
223049	
223074	
223075	
223092	
223097	
223121	
223129	
223154	
223209	
223219	
223227	
223236	
223278	
223318	
223364	
223423	
223431	
223433	
223441	
223455	
223460	
223467	
223472	
223476	OT547
223490	
223556	EA42
223613	
223642	
223657	
223709	
223732	OT1056
223739	
223741	
223748	
223763	
223764	
223771	
223824	
223825	
223888	
223901	
223908	
223933	
223972	
223986	
223988	
224046	
224059	
224128	
224131	
224141	
224145	
224156	
224161	
224194	
224202	
224215	
224253	
224293	
224326	
224331	
224340	
224346	
224390	
224397	EA242
224413	
224461	
224478	
224512	
224530	
224541	
224575	
224614	
224682	
224686	
224694	
224695	
224696	PB264
224744	
224767	
224772	
224786	
224804	
224884	
224912	
224927	
224928	
224932	
224964	
224978	
224987	
225034	
225036	EA32
225039	
225058	
225145	
225150	
225151	
225152	
225205	
225209	
225230	
225276	
225298	
225306	
225321	
225342	PB308
225367	
225369	
225372	
225383	
225387	
225393	
225407	
225491	
225510	
225515	
225518	
225536	
225547	
225581	
225584	
225590	
225597	
225606	
225611	
225617	
225622	
225646	
225649	
225666	
225715	
225743	OT216
225787	
225806	
225867	
225918	
225935	
225940	
225960	
225999	
226025	
226076	
226097	
226123	
226145	
226162	
226188	
226224	
226383	
226405	
226436	
226450	
226467	
226483	
226508	
226570	
226573	
226596	
226641	
226650	
226653	
226662	
226677	
226712	
226717	
226725	
226745	
226749	
226797	
226828	PB178
226869	
226883	
226913	
226949	
226964	
226966	
226998	
227011	
227054	
227077	
227169	
227181	
227225	
227334	
227346	
227355	
227370	
227379	
227479	
227505	EA62
227512	
227530	
227538	
227581	
227655	
227656	
227703	
227714	
227738	
227752	
227868	
227873	
227877	
227887	
227895	
227926	
227960	
227962	
227978	
228004	
228024	PB251
228028	
228086	
228102	
228220	
228251	
228282	
228287	
228305	
228369	
228378	PB198
228385	
228401	
228430	D117
228549	
228550	
228553	
228564	
228584	
228593	
228630	
228642	PB188
228643	
228681	
228684	
228710	
228737	
228764	
228773	
228789	
228803	
228816	
228820	
228841	
228868	
228872	
228891	
228895	
228907	
228919	
229005	
229057	
229066	PB177
229089	
229093	
229094	
229101	
229103	
229184	
229238	
229263	
229266	
229273	
229278	OT223
229327	
229339	
229385	
229427	
229440	
229442	
229486	
229496	
229513	
229567	
229595	
229648	
229651	PB401
229677	
229727	
229742	
229746	
229784	
229806	PB463
229823	
229880	
229912	
229938	
229991	
230027	
230039	
230042	
230085	
230088	
230148	
230162	
230243	
230282	
230299	
230315	
230357	
230395	
230426	PB481
230470	
230472	
230473	
230475	
230504	
230541	OT205
230579	
230658	
230667	
230734	
230738	
230815	D108
230819	
230832	
230924	
230938	
230951	
231010	
231021	
231090	
231132	
231138	
231168	
231221	
231235	
231239	
231245	
231344	
231348	
231405	
231422	IM320
231454	
231467	
231484	
231518	
231538	
231639	
231644	
231663	
231664	
231671	
231673	
231681	
231710	
231740	
231741	
231836	
231871	OT539
231878	
232019	EA1119
232104	
232126	
232128	
232131	D15
232132	
232133	
232135	
232136	
232138	
232139	D103
232141	
232142	
232143	
232145	
232146	
232147	
232148	
232149	
232150	
232151	
232154	
232155	
232156	EA792
232157	
232158	
232162	
232163	
232164	
232165	
232166	
232168	
232169	
232170	
232171	
232184	
232191	
232215	
232317	
232369	
232418	
232419	
232429	
232434	
232438	
232442	
232486	
232490	
232537	
232553	
232608	
232612	
232614	
232649	
232658	
232669	
232700	
232713	
232714	
232752	
232766	
232796	
232829	
232862	
232905	
232914	
232932	
232935	
232943	
232958	
232962	
232988	
233009	
233017	
233023	
233065	
233072	
233082	
233087	
233090	
233095	
233100	
233112	
233115	
233151	
233155	
233159	
233167	
233170	
233171	
233174	
233177	
233190	
233216	
233219	
233221	
233236	
233247	
233249	
233258	
233260	
233262	
233265	
233268	
233274	
233277	
233309	
233320	
233333	
233363	
233367	
233378	
233436	
233466	EA58
233527	
233529	
233551	
233559	
233562	
233568	
233569	
233572	
233575	
233588	
233593	
233597	
233644	
233661	
233668	
233686	
233700	
233710	
233721	
233772	
233775	
233777	
233810	
233818	
233860	
233865	
233890	
233912	
233924	
233933	
233943	
233945	D17
233955	
233982	
233984	
234083	
234085	
234087	
234097	
234112	
234113	
234194	
234241	
234267	
234315	
234362	
234363	
234368	
234369	
234449	
234457	
234463	
234509	
234545	
234577	
234667	PB1202
234754	
234819	
234880	
234925	
